2026-03-18T13:14:04.333544 00123456780210504572236880023000009 -> {'device_id': 12345678, 'temperature': 21.05, 'humidity': 45.72, 'distance': 236.88, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:14:04.333154'}
2026-03-18T13:14:05.335636 00123456780210804579121720023100009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.79, 'distance': 121.72, 'mq4': 231, 'mq136': 9, 'timestamp': '2026-03-18T13:14:05.335260'}
2026-03-18T13:14:06.337317 00123456780210804563236220023200009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.63, 'distance': 236.22, 'mq4': 232, 'mq136': 9, 'timestamp': '2026-03-18T13:14:06.336917'}
2026-03-18T13:14:07.338855 00123456780210904568121560022700009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.68, 'distance': 121.56, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:14:07.338473'}
2026-03-18T13:14:08.340678 00123456780210804575236980023200009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.75, 'distance': 236.98, 'mq4': 232, 'mq136': 9, 'timestamp': '2026-03-18T13:14:08.340040'}
2026-03-18T13:14:09.342544 00123456780210904570121580023000009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.7, 'distance': 121.58, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:14:09.341890'}
2026-03-18T13:14:10.344584 00123456780211104571236930022900009 -> {'device_id': 12345678, 'temperature': 21.11, 'humidity': 45.71, 'distance': 236.93, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:14:10.344041'}
2026-03-18T13:14:12.358590 00123456780210804569121560022400009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.69, 'distance': 121.56, 'mq4': 224, 'mq136': 9, 'timestamp': '2026-03-18T13:14:12.358001'}
2026-03-18T13:14:13.360959 00123456780211004574237580022700009 -> {'device_id': 12345678, 'temperature': 21.1, 'humidity': 45.74, 'distance': 237.58, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:14:13.360374'}
2026-03-18T13:14:14.363046 00123456780211104576121700022500009 -> {'device_id': 12345678, 'temperature': 21.11, 'humidity': 45.76, 'distance': 121.7, 'mq4': 225, 'mq136': 9, 'timestamp': '2026-03-18T13:14:14.362658'}
